TAG	MODIFICATION FLAG	IBAN COUNTRY CODE	IBAN COUNTRY CODE POSITION	IBAN COUNTRY CODE LENGTH	IBAN CHECK DIGITS POSITION	IBAN CHECK DIGITS LENGTH	BANK IDENTIFIER POSITION	BANK IDENTIFIER LENGTH	BRANCH IDENTIFIER POSITION	BRANCH IDENTIFIER LENGTH	IBAN NATIONAL ID LENGTH	ACCOUNT NUMBER POSITION	ACCOUNT NUMBER LENGTH	IBAN TOTAL LENGTH	SEPA	OPTIONAL COMMENCE DATE	MANDATORY COMMENCE DATE
IS	U	AD	1	2	3	2	5	4	9	4	8	13	12	24	N		
IS	U	AE	1	2	3	2	5	3		0	3	8	16	23	N		
IS	U	AL	1	2	3	2	5	3	8	5	8	13	16	28	N		
IS	U	AT	1	2	3	2	5	5		0	5	10	11	20	Y		
IS	U	AZ	1	2	3	2	5	4		0	4	9	20	28	N		
IS	U	BA	1	2	3	2	5	3	8	3	3	11	10	20	N		
IS	U	BE	1	2	3	2	5	3		0	3	5	12	16	Y		
IS	U	BG	1	2	3	2	5	4	9	4	8	13	10	22	Y		
IS	U	BH	1	2	3	2	5	4		0	4	9	14	22	N		
IS	U	BR	1	2	3	2	5	8	13	5	8	18	12	29	N		
IS	U	CH	1	2	3	2	5	5		0	5	10	12	21	Y		
IS	U	CR	1	2	3	2	5	3		0	3	8	14	21	N		
IS	U	CY	1	2	3	2	5	3	8	5	8	13	16	28	Y		
IS	U	CZ	1	2	3	2	5	4		0	4	9	16	24	Y		
IS	U	DE	1	2	3	2	5	8		0	8	13	10	22	Y		
IS	U	DK	1	2	3	2	5	4		0	4	9	10	18	Y		
IS	U	DO	1	2	3	2	5	4		0	4	9	20	28	N		
IS	U	EE	1	2	3	2	5	2		0	2	7	14	20	Y		
IS	U	ES	1	2	3	2	5	4	9	4	8	13	12	24	Y		
IS	U	FI	1	2	3	2	5	6		0	3	11	8	18	Y		
IS	U	FO	1	2	3	2	5	4		0	4	9	10	18	N		
IS	U	FR	1	2	3	2	5	5	10	5	10	15	13	27	Y		
IS	U	GB	1	2	3	2	5	4	9	6	10	15	8	22	Y		
IS	U	GE	1	2	3	2	5	2		0	2	7	16	22	N		
IS	U	GI	1	2	3	2	5	4		0	4	9	15	23	Y		
IS	U	GL	1	2	3	2	5	4		0	4	9	10	18	N		
IS	U	GR	1	2	3	2	5	3	8	4	3	12	16	27	Y		
IS	U	GT	1	2	3	2	5	4		0	4	9	20	28	N	20140701	
IS	U	HR	1	2	3	2	5	7		0	7	12	10	21	Y		
IS	U	HU	1	2	3	2	5	3	8	4	7	12	17	28	Y		
IS	U	IE	1	2	3	2	5	4	9	6	10	15	8	22	Y		
IS	U	IL	1	2	3	2	5	3	8	3	6	11	13	23	N		
IS	U	IS	1	2	3	2	5	4		0	4	9	18	26	Y		
IS	U	IT	1	2	3	2	6	5	11	5	10	16	12	27	Y		
IS	U	KW	1	2	3	2	5	4		0	4	9	22	30	N		
IS	U	KZ	1	2	3	2	5	3		0	3	8	13	20	N		
IS	U	LB	1	2	3	2	5	4		0	4	14	14	28	N		
IS	U	LI	1	2	3	2	5	5		0	5	10	12	21	Y		
IS	U	LT	1	2	3	2	5	5		0	5	10	11	20	Y		
IS	U	LU	1	2	3	2	5	3		0	3	8	13	20	Y		
IS	U	LV	1	2	3	2	5	4		0	4	9	13	21	Y		
IS	U	MC	1	2	3	2	5	5	10	5	10	15	13	27	Y		
IS	U	MD	1	2	3	2	5	2		0	2	7	18	24	N		
IS	U	ME	1	2	3	2	5	3		0	3	8	15	22	N		
IS	U	MK	1	2	3	2	5	3		0	3	8	12	19	N		
IS	U	MR	1	2	3	2	5	5	10	5	10	15	13	27	N		
IS	U	MT	1	2	3	2	5	4	9	5	9	14	18	31	Y		
IS	U	MU	1	2	3	2	5	6	11	2	8	13	18	30	N		
IS	U	NL	1	2	3	2	5	4		0	4	9	10	18	Y		
IS	U	NO	1	2	3	2	5	4		0	4	9	7	15	Y		
IS	U	PK	1	2	3	2	5	4		0	4	9	16	24	N		
IS	U	PL	1	2	3	2	5	8		0	8	13	16	28	Y		
IS	U	PS	1	2	3	2	5	4		0	4	9	21	29	N		
IS	U	PT	1	2	3	2	5	4	9	4	4	13	13	25	Y		
IS	U	RO	1	2	3	2	5	4		0	4	9	16	24	Y		
IS	U	RS	1	2	3	2	5	3		0	3	8	15	22	N		
IS	U	SA	1	2	3	2	5	2		0	2	7	18	24	N		
IS	U	SE	1	2	3	2	5	3		0	3	8	17	24	Y		
IS	U	SI	1	2	3	2	5	5		0	2	10	10	19	Y		
IS	U	SK	1	2	3	2	5	4		0	4	9	16	24	Y		
IS	U	SM	1	2	3	2	6	5	11	5	10	16	12	27	Y		
IS	U	TN	1	2	3	2	5	2	7	3	2	10	15	24	N		
IS	U	TR	1	2	3	2	5	5		0	5	10	17	26	N		
IS	U	VG	1	2	3	2	5	4		0	4	9	16	24	N		
IS	U	JO	1	2	3	2	5	4		0	4	9	22	30	N	20140202	
IS	U	QA	1	2	3	2	5	4		0	4	9	21	29	N	20140101	
IS	U	XK	1	2	3	2	5	4		0	4	5	16	20	N	20150201	
IS	U	TL	1	2	3	2	5	3		0	3	8	16	23	N		
